Time Unit;Total number of query arrivals per time unit
0;2
1;1
2;7
3;14
4;2
13;1
14;2
15;12
16;3
17;1
18;1
19;1
20;7
21;4
22;26
23;20
24;1
25;5
26;2
27;6
28;20
29;13
30;11
31;7
32;9
33;12
34;13
35;36
36;39
37;14
38;16
39;11
40;6
41;12
42;10
43;8
44;4
45;10
46;16
47;28
48;18
49;7
50;7
51;15
52;18
53;16
54;38
55;29
56;19
57;30
58;26
59;16
60;29
61;59
62;42
63;10
64;11
65;8
66;20
67;23
68;29
69;14
70;17
71;20
72;12
73;21
74;19
75;5
76;1
77;7
78;14
79;4
80;5
81;3
82;3
83;7
85;6
86;1
87;1
88;7
89;3
90;1
91;1
93;3
94;2
95;2
97;2
98;1
99;1
100;1
107;1
108;2
109;2
110;1
112;3
113;2
115;1
